point,name,iso_time,dist2land,usa_wind,usa_pressure,usa_sshs,radius_34kt,radius_50kt
POINT(-39.8075 18.5274),FLORENCE,2018-09-03 21:00:00 UTC,2023,57,996,0,43.25,
POINT(-40.4 18.7),FLORENCE,2018-09-04 00:00:00 UTC,2001,60,995,0,43.25,
POINT(-41.0099 18.8964),FLORENCE,2018-09-04 03:00:00 UTC,1981,60,995,0,51.75,
POINT(-41.5 19.1),FLORENCE,2018-09-04 06:00:00 UTC,1967,60,995,0,60.75,
POINT(-41.7229 19.2633),FLORENCE,2018-09-04 09:00:00 UTC,1972,62,992,0,60.75,
POINT(-41.9 19.45),FLORENCE,2018-09-04 12:00:00 UTC,1976,64,990,1,60.75,29.0
POINT(-42.2773 19.7214),FLORENCE,2018-09-04 15:00:00 UTC,1969,70,987,1,66.25,30.5
POINT(-42.7 20),FLORENCE,2018-09-04 18:00:00 UTC,1973,76,984,1,72.25,32.0
POINT(-43.0429 20.1885),FLORENCE,2018-09-04 21:00:00 UTC,1974,81,980,1,72.25,32.0
POINT(-43.4 20.4),FLORENCE,2018-09-05 00:00:00 UTC,1971,86,976,2,72.25,32.0
POINT(-43.8349 20.735),FLORENCE,2018-09-05 03:00:00 UTC,1978,87,976,2,70.75,32.0
POINT(-44.3 21.1),FLORENCE,2018-09-05 06:00:00 UTC,1992,89,976,2,69.25,32.0
POINT(-44.7429 21.3998),FLORENCE,2018-09-05 09:00:00 UTC,2002,97,968,3,69.25,32.0
POINT(-45.2 21.7),FLORENCE,2018-09-05 12:00:00 UTC,2010,105,961,3,69.25,32.0
POINT(-45.7149 22.0426),FLORENCE,2018-09-05 15:00:00 UTC,2019,110,957,3,69.25,32.0
POINT(-46.2 22.4),FLORENCE,2018-09-05 18:00:00 UTC,2037,115,953,4,69.25,32.0
POINT(-46.5728 22.7498),FLORENCE,2018-09-05 21:00:00 UTC,2033,115,953,4,69.25,32.0
POINT(-46.9 23.1),FLORENCE,2018-09-06 00:00:00 UTC,2012,115,953,4,69.25,32.0
POINT(-47.2576 23.4575),FLORENCE,2018-09-06 03:00:00 UTC,1981,107,958,3,69.25,32.0
POINT(-47.6 23.8),FLORENCE,2018-09-06 06:00:00 UTC,1960,99,964,3,69.25,32.0
POINT(-47.8778 24.1222),FLORENCE,2018-09-06 09:00:00 UTC,1939,94,969,2,69.25,32.0
POINT(-48.2 24.4),FLORENCE,2018-09-06 12:00:00 UTC,1919,89,975,2,69.25,32.0
